3, 500
5, 500
6, 1000 

6, 500
h1, 500
h2, 1000 

h3, 500
h5, 500
h3, 1000

h2, 500
h1, 500
6, 1000 

h3, 500
h2, 500
6, 1000

h3, 500
h2, 500
6, 1000

5, 1000

3, 2000


3, 500
5, 500
6, 1000

6, 500
h1, 500
h2, 1000 

h3, 500
h5, 500
h3, 1000

h2, 500
h1, 500
6, 1000 

h3, 500
h2, 500
6, 1000

h3, 500
h2, 500
6, 2000


5, 1000 

6, 2000



3, 500
5, 500
6, 1000

5, 500
6, 1000 

7, 500
5, 500
6, 1000

5, 500
2, 500
3, 1000 

3, 500
5, 500
6, 1000

5, 500
6, 500
h1, 1000

7, 500
5, 500
3, 2000



h3, 500
h5, 500
h6, 1000

h5, 500
h6, 1000 

h7, 500
h5, 500
h6, 2000 


h5, 500
h2, 500
h3, 1000

h3, 500
h2, 500
6, 1000

h3, 500
h2, 500
6, 2000 


5, 1000 

6, 2000



3, 500
5, 500
6, 1000 

5, 500
6, 1000 

7, 500
5, 500
6, 2000


5, 500
2, 500
3, 1000 

3, 500
5, 500
6, 1000 

5, 500
6, 500
h1, 500
7, 500
5, 500
3, 2000





h3, 500
h5, 500
h6, 1000

h5, 500
h6, 1000

h7, 500
h5, 500
h6, 2000


h5, 500
h2, 500
h3, 1000

h3, 500
h2, 500
6, 1000

h3, 500
h2, 500
6, 2000


5, 1000

6, 2000



h3, 500
h2, 500
6, 1000

h3, 500
h2, 500
6, 1000

5, 1000

6, 3000
