// MUSIC_NAME: 超越时空的思念
// AUTHOR: https://www.bilibili.com/video/BV1aTqqYWEx7/
// USABLE: 琵琶

3, 400
5, 400
6, 700 

6, 400
h1, 400
h2, 700 

h3, 400
h5, 400
h3, 700

h2, 400
h1, 400
6, 700 

h3, 400
h2, 400
6, 700

h3, 400
h2, 400
6, 700

5, 700

3, 1000


3, 400
5, 400
6, 700

6, 400
h1, 400
h2, 700 

h3, 400
h5, 400
h3, 700

h2, 400
h1, 400
6, 700 

h3, 400
h2, 400
6, 700

h3, 400
h2, 400
6, 1000


5, 700 

6, 1000



3, 400
5, 400
6, 700

5, 400
6, 700 

7, 400
5, 400
6, 700

5, 400
2, 400
l3, 700 

3, 400
5, 400
l6, 700

5, 400
6, 400
h1, 700

7, 400
5, 400
l3, 1000



h3, 400
h5, 400
h6, 700

h5, 400
h6, 700 

h7, 400
h5, 400
h6, 1000 


h5, 400
h2, 400
h3, 700

h3, 400
h2, 400
6, 700

h3, 400
h2, 400
6, 1000 


5, 700 

6, 1000



3, 400
5, 400
l6, 700 

5, 400
6, 700 

7, 400
5, 400
l6, 1000


5, 400
2, 400
3, 700 

3, 400
5, 400
l6, 700 

5, 400
6, 400
h1, 400
7, 400
5, 400
l3, 1000





h3, 400
h5, 400
h6, 700

h5, 400
h6, 700

h7, 400
h5, 400
h6, 1000


h5, 400
h2, 400
h3, 700

h3, 400
h2, 400
6, 700

h3, 400
h2, 400
6, 1000


5, 700

6, 1000



h3, 400
h2, 400
6, 700

h3, 400
h2, 400
6, 700

5, 700

l6, 1000
